Station,Date,Alk-Tot,EC,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,COL-True,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
URY00076,2020-07-10,43.0,137.0,9.5,6.4,7.4,Toma de agua,-34.8297,-55.0421,South America,63.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-13,43.0,134.0,9.5,7.5,7.31,Toma de agua,-34.8297,-55.0421,South America,65.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-14,45.0,138.0,8.0,6.7,7.4,Toma de agua,-34.8297,-55.0421,South America,81.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-15,49.0,134.0,8.0,7.0,7.4,Toma de agua,-34.8297,-55.0421,South America,74.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-16,44.0,143.0,7.5,6.4,7.5,Toma de agua,-34.8297,-55.0421,South America,69.0,678,0.006899999920278788,0.004100000020116568,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-17,42.0,140.0,8.0,6.2,7.6,Toma de agua,-34.8297,-55.0421,South America,85.0,678,0.005350000225007534,0.004149999935179949,0.017349999397993088,0.027249999344348907,0.027049999684095383,0.026499999687075615,0.009700000286102295,0.009499999694526196,0.010999999940395355,0.0056500001810491085
URY00076,2020-07-18,49.0,128.0,12.5,5.6,7.4,Toma de agua,-34.8297,-55.0421,South America,76.0,678,0.005350000225007534,0.004149999935179949,0.017349999397993088,0.027249999344348907,0.027049999684095383,0.026499999687075615,0.009700000286102295,0.009499999694526196,0.010999999940395355,0.0056500001810491085
URY00076,2020-07-20,42.0,136.0,16.0,5.8,7.3,Toma de agua,-34.8297,-55.0421,South America,47.0,678,0.00800000037997961,0.006599999964237213,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-21,45.0,142.0,12.0,5.5,7.4,Toma de agua,-34.8297,-55.0421,South America,63.0,678,0.00800000037997961,0.006599999964237213,0.02370000071823597,0.03319999948143959,0.031199999153614044,0.031700000166893005,0.014499999582767487,0.014000000432133675,0.014600000344216824,0.00930000003427267
URY00076,2020-07-23,41.0,134.0,11.0,5.1,7.5,Toma de agua,-34.8297,-55.0421,South America,,678,0.0019000000320374966,0.0024999999441206455,0.010200000368058681,0.019999999552965164,0.0142000000923872,0.018300000578165054,0.004600000102072954,0.004600000102072954,0.0044999998062849045,0.003700000001117587
URY00076,2020-07-24,43.0,135.0,11.0,5.21,7.36,Toma de agua,-34.8297,-55.0421,South America,52.0,678,0.0019000000320374966,0.0024999999441206455,0.010200000368058681,0.019999999552965164,0.0142000000923872,0.018300000578165054,0.004600000102072954,0.004600000102072954,0.0044999998062849045,0.003700000001117587
URY00076,2020-07-27,43.0,156.0,10.2,5.0,7.5,Toma de agua,-34.8297,-55.0421,South America,54.0,678,0.0019000000320374966,0.0024999999441206455,0.010200000368058681,0.019999999552965164,0.0142000000923872,0.018300000578165054,0.004600000102072954,0.004600000102072954,0.0044999998062849045,0.003700000001117587
URY00076,2020-07-28,48.0,138.0,9.7,5.3,7.6,Toma de agua,-34.8297,-55.0421,South America,,678,0.0019000000320374966,0.0024999999441206455,0.010200000368058681,0.019999999552965164,0.0142000000923872,0.018300000578165054,0.004600000102072954,0.004600000102072954,0.0044999998062849045,0.003700000001117587
URY00076,2020-07-29,47.0,140.0,10.0,4.9,7.6,Toma de agua,-34.8297,-55.0421,South America,47.0,678,0.0019000000320374966,0.0024999999441206455,0.010200000368058681,0.019999999552965164,0.0142000000923872,0.018300000578165054,0.004600000102072954,0.004600000102072954,0.0044999998062849045,0.003700000001117587
URY00076,2020-07-30,47.0,134.0,9.1,4.7,7.8,Toma de agua,-34.8297,-55.0421,South America,41.0,678,0.0032500000670552254,0.0027000000700354576,0.01489999983459711,0.02264999970793724,0.01614999957382679,0.020250000059604645,0.00559999980032444,0.0076500000432133675,0.005900000222027302,0.0035500000230968
URY00076,2020-07-31,41.0,136.0,10.2,5.26,7.73,Toma de agua,-34.8297,-55.0421,South America,67.0,678,0.0032500000670552254,0.0027000000700354576,0.01489999983459711,0.02264999970793724,0.01614999957382679,0.020250000059604645,0.00559999980032444,0.0076500000432133675,0.005900000222027302,0.0035500000230968
URY00076,2020-08-03,41.0,140.0,12.0,4.5,7.7,Toma de agua,-34.8297,-55.0421,South America,61.0,678,0.0032500000670552254,0.0027000000700354576,0.01489999983459711,0.02264999970793724,0.01614999957382679,0.020250000059604645,0.00559999980032444,0.0076500000432133675,0.005900000222027302,0.0035500000230968
