Chl-a,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
1.54609139190222,0.0120000001043081,0.0092000002041459,0.0218499992042779,0.0164500009268522,0.0080500002950429,0.0107500003650784,0.0099499998614192,0.0123500004410743,0.0082499999552965,0.0118000004440546
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
3.17537105924945,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.90644000662422,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
